sym,sector,signal_type,regime,entry_date,entry,stop,target,bars_held,is_short,smart_rank,exit_date,exit,pnl_pct,rr,outcome
PHDC,REAL_ESTATE,early,NEUTRAL,2024-08-15,4.65,4.53,5.09,3,False,32.53,2024-08-20,5.09,8.89,3.67,WIN
ORWE,SERVICES,early,NEUTRAL,2024-08-20,23.29,22.59,25.51,2,False,30.1,2024-08-22,22.59,-3.58,1.0,LOSS
FWRY,SERVICES,early,NEUTRAL,2024-08-19,6.75,6.54,7.39,5,False,30.07,2024-08-26,7.39,8.91,3.05,WIN
ABUK,ENERGY,early,NEUTRAL,2024-09-03,50.86,49.32,55.71,3,False,31.13,2024-09-08,49.32,-3.6,1.0,LOSS
TMGH,REAL_ESTATE,ultra,BULL,2024-09-02,59.23,57.44,64.88,7,False,34.18,2024-09-11,57.44,-3.6,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2024-08-25,9.44,9.06,10.34,15,False,31.18,2024-09-16,9.532851219177246,0.41,0.24,EXIT
CNFN,BANKS,early,NEUTRAL,2024-09-19,4.81,4.61,5.26,4,False,30.17,2024-09-25,5.26,8.78,2.25,WIN
HELI,REAL_ESTATE,ultra,NEUTRAL,2024-09-18,9.54,9.25,10.45,7,False,30.66,2024-09-29,10.45,8.96,3.14,WIN
ADIB,BANKS,ultra,NEUTRAL,2024-09-26,40.2,38.99,44.04,5,False,32.51,2024-10-03,38.99,-3.58,1.0,LOSS
CIEB,BANKS,ultra,NEUTRAL,2024-09-26,17.47,16.95,19.14,6,False,34.75,2024-10-07,16.95,-3.55,1.0,LOSS
ORWE,SERVICES,ultra,NEUTRAL,2024-10-14,23.21,22.51,25.42,2,False,35.19,2024-10-16,25.42,8.95,3.16,WIN
SAUD,BANKS,early,NEUTRAL,2024-09-29,10.97,10.53,12.02,13,False,33.76,2024-10-17,12.02,9.0,2.39,WIN
ORWE,SERVICES,early,NEUTRAL,2024-10-16,25.38,24.62,27.81,1,False,33.72,2024-10-17,24.62,-3.57,1.0,LOSS
ADIB,BANKS,early,NEUTRAL,2024-10-23,39.81,38.21,43.61,10,False,34.58,2024-11-06,43.61,8.97,2.37,WIN
CIEB,BANKS,ultra,NEUTRAL,2024-10-27,17.3,16.78,18.96,12,False,32.85,2024-11-12,18.96,9.02,3.19,WIN
HRHO,SERVICES,early,NEUTRAL,2024-11-11,23.17,22.47,25.39,5,False,34.82,2024-11-18,22.47,-3.6,1.0,LOSS
HELI,REAL_ESTATE,early,NEUTRAL,2024-11-03,9.71,9.41,10.63,12,False,30.2,2024-11-19,9.41,-3.66,1.0,LOSS
FWRY,SERVICES,ultra,NEUTRAL,2024-11-06,8.12,7.87,8.89,15,False,30.0,2024-11-27,8.09000015258789,-0.94,0.12,EXIT
COMI,BANKS,early,NEUTRAL,2024-11-11,79.66,76.46,87.27,12,False,33.65,2024-11-27,76.46,-4.59,1.0,LOSS
OCDI,REAL_ESTATE,ultra,NEUTRAL,2024-12-01,60.7,58.86,66.49,7,False,30.51,2024-12-10,66.49,8.96,3.15,WIN
PHDC,REAL_ESTATE,early,NEUTRAL,2024-12-02,6.15,5.96,6.74,9,False,31.7,2024-12-15,6.74,9.02,3.11,WIN
COMI,BANKS,early,NEUTRAL,2024-12-03,79.56,77.56,87.15,15,False,36.33,2024-12-24,79.081298828125,-1.18,0.24,EXIT
KZPC,INDUSTRIAL,ultra,NEUTRAL,2025-01-08,12.01,11.65,13.16,1,False,33.35,2025-01-09,11.65,-3.57,1.0,LOSS
ESRS,INDUSTRIAL,ultra,NEUTRAL,2024-12-23,109.44,106.14,119.89,13,False,31.05,2025-01-13,119.89,8.97,3.17,WIN
KZPC,INDUSTRIAL,ultra,NEUTRAL,2025-01-09,11.53,11.19,12.64,3,False,34.93,2025-01-14,11.19,-3.52,1.0,LOSS
ABUK,ENERGY,early,BULL,2025-01-13,45.51,43.68,49.86,4,False,35.02,2025-01-19,49.86,8.98,2.38,WIN
AMOC,INDUSTRIAL,ultra,BULL,2025-01-13,6.7,6.5,7.34,9,False,32.76,2025-01-26,7.34,8.98,3.2,WIN
ORWE,SERVICES,early,NEUTRAL,2025-01-21,24.46,23.72,26.79,7,False,32.85,2025-01-30,23.72,-3.6,1.0,LOSS
SKPC,INDUSTRIAL,buy,BULL,2025-01-14,18.85,18.09,20.65,15,False,30.41,2025-02-04,19.33062171936035,1.97,0.63,EXIT
MFPC,ENERGY,early,BULL,2025-01-16,37.46,35.96,41.04,15,False,37.4,2025-02-06,37.670753479003906,-0.01,0.14,EXIT
OCDI,REAL_ESTATE,early,NEUTRAL,2025-01-20,60.33,57.9,66.09,15,False,31.52,2025-02-10,61.43000030517578,1.25,0.45,EXIT
AMOC,INDUSTRIAL,ultra,NEUTRAL,2025-01-27,7.12,6.9,7.8,11,False,31.83,2025-02-11,6.9,-3.66,1.0,LOSS
ADIB,BANKS,ultra,NEUTRAL,2025-02-04,38.71,37.54,42.4,5,False,34.16,2025-02-11,37.54,-3.6,1.0,LOSS
